question,participant,sentiment,participant_short,question_short
Q11. When was the last time you thought about going to the gym but didn't end up going?,K Interview.txt,-1.0,K Interview,Q11. When was the last time you thought about goin...
"Q12. If you went to the gym tomorrow, how confident would you be knowing where to start or what to do?",K Interview.txt,2.0,K Interview,"Q12. If you went to the gym tomorrow, how confiden..."
Q13. Do you ever feel like gyms are catered for certain types of people? What gives you that impression?,K Interview.txt,0.0,K Interview,Q13. Do you ever feel like gyms are catered for ce...
"Q14. When you think about going to the gym, do you picture yourself going alone or with someone? Why?",K Interview.txt,1.0,K Interview,"Q14. When you think about going to the gym, do you..."
"Q15. What is your preference working out alone, taking a group fitness class, or exercising casually with friends?",K Interview.txt,1.0,K Interview,"Q15. What is your preference working out alone, ta..."
"Q16. If something could remove one barrier to getting you into the gym consistently, what would it be?",K Interview.txt,1.0,K Interview,Q16. If something could remove one barrier to gett...
Q17. How would you feel best supported going to the gym?,K Interview.txt,1.0,K Interview,Q17. How would you feel best supported going to th...
Q18. What would you hope to gain from going to the gym?,K Interview.txt,2.0,K Interview,Q18. What would you hope to gain from going to the...
Q4. Do you find yourself comparing your image to people you see online?,K Interview.txt,1.0,K Interview,Q4. Do you find yourself comparing your image to ...
Q1. What do you do outside of work/school?,Q Interview.txt,1.0,Q Interview,Q1. What do you do outside of work/school?
Q2. How much time would you say you spend on social media on a typical day? What kind of content do you usually see?,Q Interview.txt,0.0,Q Interview,Q2. How much time would you say you spend on soci...
Q3. How does scrolling through content on social media make you feel?,Q Interview.txt,-1.0,Q Interview,Q3. How does scrolling through content on social ...
Q4. Do you find yourself comparing your image to people you see online? How does that affect you?,Q Interview.txt,1.0,Q Interview,Q4. Do you find yourself comparing your image to ...
"Q5. When you're feeling good about yourself, what's usually contributing to that?",Q Interview.txt,2.0,Q Interview,"Q5. When you're feeling good about yourself, what..."
Q6. What would you say has the biggest influence on how you feel about yourself?,Q Interview.txt,2.0,Q Interview,Q6. What would you say has the biggest influence ...
Q7. How would you describe your relationship with your body currently?,Q Interview.txt,0.0,Q Interview,Q7. How would you describe your relationship with...
Q8. Have you ever avoided a physical activity because of how you thought you'd look doing working out?,Q Interview.txt,0.0,Q Interview,Q8. Have you ever avoided a physical activity bec...
Q9. Were you involved in any sports or physical activities? How did that shape how you think about exercise now?,Q Interview.txt,1.0,Q Interview,Q9. Were you involved in any sports or physical a...
Q10. Have you ever signed up for a gym and stopped going? What led to that?,Q Interview.txt,0.0,Q Interview,Q10. Have you ever signed up for a gym and stopped...
Q11. When was the last time you thought about going to the gym but didn't end up going?,Q Interview.txt,-1.0,Q Interview,Q11. When was the last time you thought about goin...
"Q12. If you went to the gym tomorrow, how confident would you be knowing where to start or what to do?",Q Interview.txt,2.0,Q Interview,"Q12. If you went to the gym tomorrow, how confiden..."
Q13. Do you ever feel like gyms are catered for certain types of people? What gives you that impression?,Q Interview.txt,0.0,Q Interview,Q13. Do you ever feel like gyms are catered for ce...
"Q14. When you think about going to the gym, do you picture yourself going alone or with someone? Why?",Q Interview.txt,1.0,Q Interview,"Q14. When you think about going to the gym, do you..."
"Q15. What is your preference working out alone, taking a group fitness class, or exercising casually with friends?",Q Interview.txt,1.0,Q Interview,"Q15. What is your preference working out alone, ta..."
"Q16. If something could remove one barrier to getting you into the gym consistently, what would it be?",Q Interview.txt,-1.0,Q Interview,Q16. If something could remove one barrier to gett...
Q18. What would you hope to gain from going to the gym?,Q Interview.txt,1.0,Q Interview,Q18. What would you hope to gain from going to the...
Q4. Do you find yourself comparing your image to people you see online?,Q Interview.txt,1.0,Q Interview,Q4. Do you find yourself comparing your image to ...
Q1. What do you do outside of work/school?,T Interview.txt,1.0,T Interview,Q1. What do you do outside of work/school?
Q2. How much time would you say you spend on social media on a typical day? What kind of content do you usually see?,T Interview.txt,0.0,T Interview,Q2. How much time would you say you spend on soci...
Q3. How does scrolling through content on social media make you feel?,T Interview.txt,-1.0,T Interview,Q3. How does scrolling through content on social ...
Q4. Do you find yourself comparing your image to people you see online? How does that affect you?,T Interview.txt,0.0,T Interview,Q4. Do you find yourself comparing your image to ...
"Q5. When you're feeling good about yourself, what's usually contributing to that?",T Interview.txt,2.0,T Interview,"Q5. When you're feeling good about yourself, what..."
Q6. What would you say has the biggest influence on how you feel about yourself?,T Interview.txt,2.0,T Interview,Q6. What would you say has the biggest influence ...
Q7. How would you describe your relationship with your body currently?,T Interview.txt,1.0,T Interview,Q7. How would you describe your relationship with...
