name,address,latitude,longitude,price,google_maps_url,types
btone FITNESS North End,"133 Salem St, Boston, MA 02113, USA",42.364769,-71.055332,$179,https://maps.google.com/?cid=14449666674809740472&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"fitness_center, gym, sports_complex, sports_school, health, sports_activity_location, point_of_interest, establishment"
Nova fitness Poli,"222 Arsenal St, Watertown, MA 02472, USA",42.3645328,-71.1730037,$265,https://maps.google.com/?cid=17021434425246240899&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, sports_activity_location, health, point_of_interest, establishment"
Cambridge Athletic Club,"215 First St, Cambridge, MA 02142, USA",42.3643991,-71.0788381,N/A,https://maps.google.com/?cid=9259205964571612078&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, fitness_center, sports_complex, school, educational_institution, athletic_field, consultant, sports_activity_location, health, point_of_interest, service, establishment"
EastieFit,"256 Marginal St #16b, Boston, MA 02128, USA",42.3639736,-71.0317447,N/A,https://maps.google.com/?cid=17036606306676720874&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, sports_activity_location, health, point_of_interest, establishment"
Planet Fitness,"191 Watertown St, Watertown, MA 02472, USA",42.3637301,-71.1945514,$25,https://maps.google.com/?cid=7449047613610219014&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, tanning_studio, fitness_center, spa, service, sports_activity_location, point_of_interest, health, establishment"
GymIt,"36 Arlington St, Watertown, MA 02472, USA",42.3636927,-71.1546956,$36,https://maps.google.com/?cid=3371893918498542133&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, fitness_center, sports_activity_location, health, point_of_interest, service, establishment"
Soma Yoga Center,"256 Hanover St 3rd floor, Boston, MA 02113, USA",42.363663,-71.0549839,$159,https://maps.google.com/?cid=107521411984704823&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"yoga_studio, fitness_center, sports_complex, sports_school, gym, sports_activity_location, health, point_of_interest, establishment"
[solidcore] Arsenal Yards,"535 Arsenal St, Watertown, MA 02472, USA",42.3627934,-71.1594058,$288,https://maps.google.com/?cid=10043427742443504834&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, fitness_center, sports_complex, sports_activity_location, sports_school, health, point_of_interest, service, establishment"
Fitness & Fuel,"390 Western Ave, Brighton, MA 02135, USA",42.3627142,-71.1380931,personal,https://maps.google.com/?cid=17192862852442914760&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, fitness_center, sports_activity_location, health, point_of_interest, service, establishment"
F45 Training Watertown,"49 Bond St, Watertown, MA 02472, USA",42.3623521,-71.1598629,$170,https://maps.google.com/?cid=4381610707096529845&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, fitness_center, sports_activity_location, health, point_of_interest, establishment"
